,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Ges_Type
0,-89.97776206346157,0.2630379615234379,-16.99059166897298,-7.578594545000742,-173.8415164526674,-102.5228172264545,-90.06999500686614,-89.98954878500552,-4.305372906104957,-94.06583501900809,-92.81322584208377,179.87989158001142,-96.94964608458889,-93.195576694941,left
1,-90.03065523738188,2.8000165427452144,-19.04005555299522,-4.03209647906032,-176.68817858884668,-104.35947911239427,-90.04427567522566,-89.98504649866227,-0.11474542309480998,-92.55091919718173,-94.38446848815067,174.4366193715658,-97.75125114738366,-91.75344924374579,left
2,-90.07891499893589,2.758058072775351,-19.08723526719626,-4.1697451432933255,-179.72322293729908,-102.11118177405952,-92.08466845732703,-89.98633087901347,-4.025270740050518,-91.24619236763724,-95.6975730916042,179.95556797191813,-97.70346797852294,-93.2065445464615,left
3,-89.98880205259542,2.694210032504324,-18.401667511029984,-6.079552983101673,-176.81043520319986,-102.45841288203336,-92.05820610540742,-90.01163102412713,-4.318662709927492,-90.08308627940949,-92.79475641916483,179.9536612725932,-95.21328453330118,-94.8019337683662,left
4,-89.98258742766927,6.1885806290875385,-17.794859634721128,-5.951260304221574,-177.2572526508643,-96.82973749195654,-94.12246838140206,-89.98677712495021,-0.16521050930164785,-91.24533684927933,-91.42262122415192,179.98382551638298,-93.86747724499611,-97.29681362785612,left
5,-90.05287326456481,9.412324579119392,-16.288703975410538,-11.198546673877802,-177.34091124749864,-94.46499964122508,-92.1410882262861,-89.99129726603464,-5.43409687389813,-90.08776204560787,-91.4310239208989,179.99463563326188,-92.56657406518963,-97.66918016170021,left
6,-90.03618634866886,12.338119330893711,-17.695558680690795,-9.823849409306728,-177.34966320378754,-94.68664844976615,-92.06248980338842,-89.97480052570016,-4.940458155593716,-92.40480364354576,-91.4687349262958,179.96259989022266,-91.4073861935665,-97.07971366657212,left
7,-89.99619294186475,8.96159152863153,-17.669624470936952,-9.795761314054861,-174.4566874312541,-99.03288323155428,-92.02120843725334,-89.98033309552994,-4.338879590965947,-93.77016382921045,-91.49918003813933,175.7568947970893,-93.77497354128366,-94.5564351303601,left
8,-89.97283678481043,11.708588575551738,-18.334189027010265,-11.628024470042764,-174.05423435912763,-103.37540643259567,-90.16164057077305,-89.97513372966884,-0.08914966963578469,-94.92526384781475,-92.81459401246536,175.4694729018246,-96.2948960026457,-92.98530845404517,left
9,-89.9672717676209,8.074397768480477,-18.38065025874623,-12.020456197399264,-173.60364052898208,-102.97942874507999,-92.10256870779506,-89.9881222622513,-0.09964573262236175,-93.69679632605703,-92.91943466162125,179.9136790149984,-96.49967897096514,-93.02134305720625,left
10,-90.00364361212208,8.126208520917048,-18.412340423268052,-12.015116939838668,-170.7304127062898,-102.97717502996221,-91.95105809686893,-89.96798641843942,-3.7506210228841743,-92.45360305284073,-95.63087158759853,179.941980145186,-97.54563485666631,-91.57968192787152,left
11,-92.40229193991836,9.790655944137193,-18.352086923154285,-11.262594291396944,-173.72014589657246,-102.53992142420853,-90.0735085618667,-89.08824648423112,-0.09662333860913884,-91.24089357310896,-92.87655662225161,-179.95593342535292,-97.56324934618647,-92.85076410628889,left
12,-90.0172595582961,7.8280488119967035,-16.34150852678831,-11.234139039454849,-173.72868015222235,-103.91725262350435,-90.00076624117324,-89.06003955884091,-4.309938418373076,-90.08435466677271,-92.73814273951207,-179.9797505360928,-97.52824458948892,-92.85103221474819,left
13,-89.95364329051152,7.778441590504248,-17.76658601272666,-7.6224804523892535,-176.71735439564404,-101.32552967459928,-91.95245380528287,-88.20527166050024,-0.04812748092201572,-91.1522641608076,-91.41452146960623,-179.9721918588723,-93.92543846034049,-95.83599578341673,left
14,-87.66359262748432,5.390054006261454,-17.781017420947013,-5.515293704223708,-176.88724999913404,-101.29525031449325,-89.96152713146381,-87.28125492828934,-4.913972607989032,-90.10522991570429,-91.38389003537343,-179.98267955458886,-93.87389191514733,-95.40823395957139,left
15,-89.9706362254783,0.27099322296452716,-15.725411003740273,-3.7390810588271286,-174.15561878535493,-101.21567676252681,-87.80364139496612,-86.44806316443123,-0.04839292443565443,-91.18997277868563,-91.38045635397538,-179.98261019466094,-93.67942329325643,-95.47335011069305,left
