,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Ges_Type
0,-90.08394562636363,4.574728651174626,-8.133949000259605,-4.815620585229164,-170.89073302043766,-100.00912641207346,-90.0085055825964,-87.10568763538483,3.896523037035122,-92.05766119527078,-92.19482362929583,-179.97800249307036,-89.99250895349965,-92.32094093652,Right
1,-90.01175151294663,8.683259953927212,-7.860440467245436,-3.4186417892224568,-172.92659531036406,-101.52967635022816,-88.52569938123902,-86.32350954044227,0.043467239946994064,-93.00344363925836,-92.22649643139181,-179.95954982732954,-89.02968618846387,-92.30988999602242,Right
2,-89.97533397203246,10.868421609858663,-7.913238197950194,-1.7498976878691141,-175.26648497278202,-100.92583668625633,-86.82203716204052,-86.30910523809224,0.05311353330485245,-93.00765761888083,-92.31349267092209,-176.2292684891832,-89.97923150139108,-91.13719376862598,Right
3,-89.92628744200013,10.884548693429547,-9.115118759277369,-0.15555735560488268,-175.43350507994438,-97.76921640367833,-86.78750450994865,-85.6897498474777,3.7472519143108003,-93.03763729421985,-92.37851093657464,-176.47487117869116,-90.0129436451548,-90.03729835262241,Right
4,-89.9006365580847,12.83842600877934,-7.882615612254882,-1.6860089606864204,-177.43058632673697,-95.96183071301839,-86.79037263285733,-85.00106847585573,0.040379198373813215,-92.07311009460936,-94.74933564639507,-176.52368308842688,-90.03045681596171,-90.00286480571565,Right
5,-87.96501213166769,10.83402296322203,-7.8229059672112795,-1.7928716029802612,-175.39732461089173,-94.70076617289907,-88.42463159978581,-85.68631124662733,0.028144031117585924,-92.0250393291273,-95.8073744758187,-176.54002295447617,-90.01515588326822,-90.02754016107161,Right
6,-89.8684565162171,8.451246597841216,-6.314896503973722,-3.3483090512833877,-175.20131385351362,-94.5595522238927,-88.50050271328386,-85.74252259364364,-0.02211540960443673,-91.07772431800474,-96.74697534788692,-179.95682957275568,-90.00989528541548,-90.00666927090748,Right
7,-85.59437980700018,4.438093697518976,-1.8165766014879114,-3.292049222842824,-173.61489777375104,-93.30226674636377,-89.88387761469191,-87.79313450643026,-0.026860047178736066,-90.06112452194375,-95.90581897886345,-179.9602261718083,-90.00625017788563,-89.97947997458036,Right
8,-85.423311449033,2.337684968359789,-1.6698983894980588,-4.80511782616495,-169.24188451968985,-96.51242061526804,-88.54911930415165,-87.85099135265726,-0.040331588786311864,-91.01603906074351,-92.40534143639269,-179.98843491477678,-90.01808966382993,-89.95053768057609,Right
9,-87.78955174583771,4.576789873124272,-1.5061274911146325,-6.901813548433975,-167.2146565873704,-96.7229299443131,-89.90173332261631,-88.52483939923486,-0.003187311328497367,-90.99631769544483,-91.28673489805034,-179.94870413254176,-89.97468713752826,-90.02240450075318,Right
10,-89.8734114923179,6.876399406470396,-1.5881311903723327,-10.167607511165496,-170.90918169320335,-98.14725152451047,-88.45148269110692,-87.81687746204187,0.007493266977799173,-90.05374753292908,-92.27159440833914,-179.95281325145254,-87.94553267590203,-91.13551311883116,Right
11,-87.95241706867233,11.233538439725043,-2.991099758316215,-8.61349977134424,-173.21928292993582,-96.36788655755757,-86.91117867469886,-85.78864333267093,-0.0014618897012494793,-92.04586086627414,-92.42323686575126,-179.9230946863246,-90.00947753876343,-88.84217535488004,Right
12,-89.79508375625369,12.910869713501699,-7.4158324065374694,-3.507645613416493,-175.18352282672956,-94.61183963050898,-86.99473190368569,-85.06657492598025,0.006644199436647408,-92.0715919648598,-94.67323507678573,-179.9482168489044,-90.02046493539467,-89.9712569034161,Right
13,-85.66801811672367,4.248281084487225,-1.6344482547747832,-3.2894273572956267,-170.96274326268718,-94.76377927511766,-88.53594559054798,-86.4440447802123,-0.0032385576064246934,-90.01710056969745,-97.16322902061547,-179.98395636823483,-89.98056432239396,-88.88635869220411,Right
14,-81.34505852392002,4.535103736793165,-1.4359099122478398,-3.490812708958853,-168.75505871851522,-98.30193301064203,-89.95843468938224,-87.87152524264962,-0.018835877404648347,-90.05184400060588,-92.26776679626501,-176.53068880036068,-89.98809864908242,-89.96563838268854,Right
15,-85.9259910020799,9.380013275397904,-0.07824339783204048,-10.456815785686683,-173.353912021463,-98.07019635238385,-88.52523668149986,-88.53221674256618,-0.017472283522270794,-90.05708234591773,-91.07908544049204,-179.97139285253255,-89.97041563127547,-90.03052670440405,Right
16,-87.90409940105366,11.644444594122065,-2.77821673060996,-8.857664716162581,-173.2464120592659,-97.86697322506195,-88.45047761582047,-87.16695879909555,-0.004903018212483527,-91.03378777645565,-92.29454886082699,-179.92938388241373,-88.98975794566074,-90.01528426891393,Right
17,-87.82798532294329,10.892093469882715,-4.808904423837926,-4.810653718849928,-175.34971497670375,-94.54279263863761,-88.4051711555672,-85.74402423811453,0.030024442554894067,-92.03522881212,-94.65343151486135,-176.5808512872884,-90.00749883780327,-89.99705088452882,Right
18,-85.44275057231724,4.427121311721357,-1.603587984190423,-3.2566866027948738,-171.26530441603836,-94.91515250654055,-88.59127391604153,-87.13019025753314,-0.007707155943249948,-90.02937110690533,-94.53781304521657,-179.98355963858,-89.04910083123676,-89.97050283101329,Right
19,-81.28422526810782,4.640671416525019,-0.021900119157974744,-5.064114670342715,-169.23401667244138,-98.28019245443845,-88.61392680718862,-88.59340723659336,-0.01705111685712436,-91.01245790603528,-91.13455519132282,-179.94377755609923,-89.00062145667587,-90.00070016178853,Right
20,-85.87637512317102,11.296733529826275,-1.5217756619797407,-8.340238265898432,-175.38618007485576,-97.92544170902157,-89.99026307898342,-87.19905390337037,-0.010176045684829936,-91.98452912032369,-91.2038527606195,-179.97421050382556,-87.97324655713439,-91.14976787128388,Right
21,-87.73903741873004,6.830003231649148,-1.5182147125768721,-3.3173428018230466,-172.8514677255699,-96.31885502288415,-89.9533546923025,-85.7453874988685,0.053789295003251435,-91.03628008254107,-94.36488357354064,-179.94384598133678,-89.00838853687547,-89.97511758139987,Right
22,-83.2711030905471,4.392823667599734,-1.5179606530262353,-3.2296644838945614,-166.69338346574025,-96.84001519700493,-88.59342666601918,-87.25534322439368,-0.0007821598574157808,-90.0200787307091,-93.33372267500842,-179.95801160878844,-89.97096887636931,-89.98768005167123,Right
23,-80.00616847898485,13.838881095267768,-2.855733698000132,-6.9298183381959095,-175.55789095821476,-97.94416467985579,-89.96538781475928,-89.24063950660913,-0.038938786503290856,-90.01013337565489,-91.14797789963454,-179.9558628985164,-87.99465427709858,-91.09159631386748,Right
24,-85.55142537158382,7.09050413520328,-0.014547774102713473,-3.4997842060110553,-175.2931934209407,-97.69627071124495,-89.99967111327331,-87.09808584066064,0.04237376667570708,-90.00407748467943,-93.4178129644854,-179.95939362752557,-88.97416468700868,-88.93696692224101,Right
25,-87.71864342172853,4.432124427621722,0.0053308900736219675,-1.5767208131964583,-166.63896959377112,-93.59225921163181,-89.92127382437894,-85.88787110511628,3.5502001833607237,-90.01953943608085,-95.4390752934472,-179.9114803373047,-89.00043576277822,-90.0126043128884,Right
26,-79.59962058438454,9.097373684222847,0.0063626602775244834,-1.804128476165072,-173.3636212302665,-97.86734310885633,-89.96627084998687,-88.59455556686522,0.0055828821225236604,-89.98989849030563,-91.1872188738668,-179.93209709948343,-87.97074051624415,-91.12382797418618,Right
27,-85.77521033360034,13.855960856299916,0.020213089805631728,-5.203928915327333,-175.35243115056394,-98.96980814297254,-88.42864790492348,-85.71420345495086,0.08780072393920649,-92.03384441660273,-93.30310081862503,-179.93714610780404,-88.98219965091235,-89.97599220944306,Right
28,-87.59935340394127,8.391356063156092,-0.018522011967893635,-4.607416694811085,-170.8591088796796,-93.39785431155542,-89.97202449754049,-85.7179159184664,3.448436784539889,-89.99824426078366,-92.35474703905884,-179.87491317346482,-89.03138453743587,-89.97964600404745,Right
29,-78.77860263984465,4.613201034474437,0.040853224715050616,-1.5045891863193448,-167.15062019960138,-96.73301285960441,-90.01493522952516,-87.82768708496562,0.10466394720511289,-90.88354634734343,-91.14336801119332,-176.44592255743157,-86.99094373915949,-91.2345105210454,Right
30,-83.50010713884586,9.461311152976156,0.06421377618737986,-1.750166681122657,-171.00602406143426,-99.37430562034703,-88.46203074358152,-85.76727248384522,3.8245272045222887,-89.0295822705177,-95.54292657320794,-176.44487025057293,-88.95671099321899,-89.96200487680908,Right
31,-85.63954327119303,14.33345538658464,-0.0001982407159087911,-3.1938840991656487,-175.30855797256498,-93.16334823873184,-88.50381222689654,-85.65181139601191,3.553566144463964,-90.0289989317905,-91.1959930089539,-176.27177872207707,-89.90677269027316,-90.01288595897734,Right
32,-78.37435010852327,11.38332445198774,0.01906137032800984,-6.337757853401619,-171.63322176523306,-94.82196015879657,-89.95257060228549,-87.1228029472186,0.1007699361338247,-90.01605589324645,-91.19444876872983,-176.54511384077372,-86.97752544986838,-91.1779242067828,Right
