,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Ges_Type
0,-77.65656399209959,8.787561552895621,-44.47258285562895,-42.09134205889875,-172.56988695285247,-94.69094402830645,-65.47353536137757,-85.40540795230079,2.0788192761649276,56.95586203074678,0.0,-176.15675916668133,50.67842602184726,0.0,down
1,-76.71497825217982,8.98987270647749,-43.98173914764864,-40.668937368658774,-175.07207063237968,-94.69732678128587,-65.92309535115523,-86.11514484959683,0.010684634689138457,56.83395163017063,0.0,-174.318219473407,50.41965110482728,0.0,down
2,-76.73217564117856,8.987276127841302,-44.45375738871359,-40.79662174315459,-175.121823314893,-95.50692265966309,-64.50769698788835,-86.10565448288698,0.028670810801681407,56.672092730715804,0.0,-172.42907056372948,50.43531355789891,0.0,down
3,-80.53750082230283,7.785901427812674,-43.32805911174374,-42.10338031260747,-175.09433417502007,-93.65647143157716,-66.47027381746625,-86.13175692653773,0.01991786899540592,56.67264109926397,0.0,-172.18740911540024,50.539445561920004,0.0,down
4,-82.42200204580713,6.373667034839529,-43.310954540902706,-43.1908363002283,-173.95024400524383,-94.61875319668191,-63.96831018253566,-86.14887370724242,2.142808702043846,56.38060639383305,0.0,-176.0179915041246,50.2770413843329,0.0,down
5,-81.32633396882184,5.116929661914201,-43.868718789842326,-43.20363154095541,-173.9042248182208,-95.51216299862426,-63.42828261303034,-86.98778659933305,-0.012361864883268325,56.3404973476685,0.0,-175.9064470802966,50.27696857882807,0.0,down
6,-82.40297511757741,5.0866813823561605,-44.427730153959935,-42.562885695853474,-172.8642219599239,-94.7980474189304,-63.99849813782256,-86.97776408550551,-0.008885622920704831,56.16688370848444,0.0,-177.95297400007374,50.009407683807986,0.0,down
7,-84.53645762108633,5.177826656384225,-45.00831126532202,-41.331246486497406,-172.68575527244352,-96.59529749916506,-63.47544526097208,-87.81238691531094,0.02412628300733453,55.87422883596964,0.0,-175.81435652620593,49.812833842180034,0.0,down
8,-85.63548135358508,5.3633461537630955,-44.39597852944297,-41.5664791835405,-171.57217300586427,-96.86576256962209,-62.96867057553185,-88.28221712998159,-2.080396886605681,55.711860400517295,0.0,-175.65350873942057,49.70977178804129,0.0,down
9,-87.82481637497705,6.641266868806914,-44.420128626996146,-43.15315218853359,-172.57934980358743,-96.89297253434594,-64.48380960013232,-88.68858919985874,-2.2345495056816524,55.131518024928745,0.0,-173.2326517370559,49.605352707261545,0.0,down
10,-89.98461446454047,7.593254120189968,-46.24117852441891,-42.61887699240629,-173.41628297876252,-97.68345931228566,-63.462797531232944,-87.83566096131726,0.027818107650591093,54.83488768365834,0.0,-175.24558509901965,49.41980192626881,0.0,down
11,-90.01103324643694,7.414629767439419,-47.59670602272844,-42.60388682858254,-177.26231788844132,-97.72851411567208,-67.2652743153774,-87.77712902173579,-0.004523848502812045,54.361830815490165,0.0,-177.737809629703,-87.99824043604863,53.70237746732696,down
12,-91.06991903966228,6.183773151799216,-48.19003885802265,-41.8696130717701,-175.98911396647995,-97.85225453905554,-67.11481561107632,-88.21293426202558,0.0003207585980492236,53.9682622349052,0.0,-179.96714515862914,-88.12944808452347,53.400368818749534,down
13,-92.20295168380083,3.8309376421997183,-47.59899226079203,-41.85216650545596,-174.81019352453558,-97.98726878566471,-66.01858616217486,-89.54963114974338,-2.3605054553590072,53.155623781427224,0.0,-175.28571197826506,47.86285677626305,0.0,down
14,-92.34280253553779,2.7280924399891555,-47.658094882344145,-41.94830523539457,-173.6545718778997,-98.80088848553879,-65.49407687202512,-89.990567136753,-2.2697252157898995,53.14518402879617,0.0,-179.9823189611961,47.57075770961814,0.0,down
15,-93.5783951625177,1.4239411773314925,-47.70481902475148,-43.15913230797752,-172.50522666636815,-100.09093482440636,-66.3565702317555,-90.44379439756344,-0.010764153436201511,-95.3068100031044,57.208126124459696,-179.99904693200102,-88.25952466505244,52.797033301901216,down
16,-97.10387322945022,1.2975913518380922,-47.69785308432736,-43.12967551386643,-175.94037072188533,-98.86516053999917,-67.94598515150864,-90.46858586950655,-2.445476246792846,-91.75820148199506,56.99334813597477,179.99875999587277,-89.12145585547111,52.40375806606599,down
17,-98.13780872754675,1.280152421000295,-46.42601536919091,-45.60404307671264,-178.57967540695628,-101.13764908267895,-65.58627346273774,-90.91411991813516,-0.008381789313776642,-94.9729040112125,56.44676808650998,-177.6444494707193,-89.14949568809597,52.208619901831014,down
18,-98.34454015207135,1.3583904237493014,-47.13382114233719,-43.712723840953394,-178.6014219807277,-103.02417726468967,-64.54990216312441,-91.38827308769258,-0.017910187750038577,-94.06738309383344,56.22916415840461,177.64549222918157,-89.2175965445428,52.00911730919468,down
19,-99.43106341652167,2.686055744247611,-47.74601487810654,-41.13177152452368,-179.9144637233675,-102.07049443331418,-65.20063631055916,-91.91652163366199,-2.5333589956608846,-92.38555342398088,56.11755705032402,179.9541175434561,-90.01077603250793,51.71999377222001,down
20,-98.48568055459171,4.172762627436679,-48.33065605423669,-42.313088972705565,-177.49662850057035,-100.3487350943277,-68.62159643672283,-92.80226076582167,-0.05187713509127121,-93.87127513283653,55.79723374477622,-179.9869483663349,-90.74225621804779,51.434424648122054,down
21,-100.84673265940427,2.5873356858503818,-48.323244632995724,-42.96386838077416,-176.00286721625386,-99.52997317744372,-67.91494052253029,-91.87716032729527,-0.021098096107886335,-94.44429619384255,55.58526969162061,-179.98900744466656,-91.48563380796978,51.23695974457547,down
22,-99.44390576962053,2.4983142227816475,-47.754081107689935,-42.93099827942066,-174.4660483026223,-100.69209090650375,-67.40636417044655,-91.00570493456475,-2.3275187623209197,-94.97635516343964,55.473957865128845,179.95459010992,-94.66505845031719,50.143891486840424,down
23,-99.4371858022055,1.372197497942339,-46.50955038625701,-41.6051325730147,-174.44149965708985,-101.71326121283637,-66.62771840864845,-91.42770093707246,-2.464349166190068,-93.80176991360588,55.00090402107118,179.92714776811212,-96.32083333810554,50.39064660986496,down
