,0,1,2,3,Mot_Type
0,509.9195556640625,396.21038818359375,672.48046875,190.53076171875,Hover
1,517.7085571289062,398.2428283691406,692.0809936523438,288.4577941894531,Hover
2,527.4849853515625,394.2731628417969,699.8959350585938,304.1824645996094,Hover
3,527.4830322265625,394.267578125,699.931396484375,304.1588439941406,Hover
4,535.3699951171875,404.0767517089844,788.0310668945312,310.0386047363281,Hover
5,541.1976318359375,413.81048583984375,762.5887451171875,368.834228515625,Hover
6,543.2451171875,419.7549743652344,813.5421752929688,398.2541198730469,Hover
7,550.9765014648438,425.62738037109375,791.9727172851562,443.2689208984375,Hover
8,551.0427856445312,427.61767578125,790.015380859375,468.7618408203125,Hover
9,549.0831298828125,431.45916748046875,760.6846313476562,556.9255981445312,Hover
10,547.0770263671875,433.50347900390625,807.6690063476562,619.5955200195312,Hover
11,545.1857299804688,433.4961853027344,725.3526000976562,619.5426635742188,Hover
12,543.219482421875,431.5321350097656,678.3214721679688,635.2258911132812,Hover
13,541.1708984375,437.3789367675781,623.4769287109375,631.36669921875,Hover
14,541.1668090820312,437.3858947753906,623.521240234375,633.2556762695312,Hover
15,533.3922119140625,435.41265869140625,578.4700927734375,639.17236328125,Hover
16,523.5767211914062,441.2663269042969,537.3251953125,648.9286499023438,Hover
17,519.697998046875,429.5875549316406,492.29937744140625,637.2307739257812,Hover
18,513.80712890625,419.7262268066406,433.4888000488281,690.1091918945312,Hover
19,509.8763427734375,415.8970947265625,409.92218017578125,629.3604125976562,Hover
20,507.9121398925781,417.7878112792969,374.7165832519531,619.5778198242188,Hover
21,502.05865478515625,417.8363037109375,351.1580810546875,547.08203125,Hover
22,504.0128173828125,415.8608703613281,327.6907043457031,519.669189453125,Hover
23,504.0170593261719,417.80987548828125,319.7884521484375,490.2986755371094,Hover
24,502.05535888671875,417.8044738769531,302.17291259765625,451.0779724121094,Hover
25,502.0549621582031,417.801025390625,300.24835205078125,451.0728454589844,Hover
26,507.8720703125,415.8482971191406,306.1718444824219,419.7593078613281,Hover
27,503.9705505371094,417.8098449707031,310.0733337402344,386.47161865234375,Hover
28,503.9720458984375,415.8040466308594,317.864501953125,353.207275390625,Hover
29,500.0679016113281,411.9175109863281,313.96246337890625,321.738525390625,Hover
30,505.92596435546875,411.9161376953125,315.89007568359375,286.53521728515625,Hover
31,507.9267272949219,407.974853515625,323.7832946777344,253.2069549560547,Hover
32,509.86407470703125,402.12530517578125,335.5333557128906,223.82089233398438,Hover
33,507.8501281738281,396.21527099609375,386.4569091796875,194.4742431640625,Hover
34,507.8499450683594,388.4004821777344,407.98248291015625,168.9692840576172,Hover
35,505.9138488769531,384.45654296875,441.2761535644531,167.00428771972656,Hover
36,507.8711853027344,382.52899169921875,466.77166748046875,163.1173095703125,Hover
37,507.8590393066406,382.5426025390625,466.77789306640625,163.0911102294922,Hover
38,502.0406188964844,394.270263671875,503.9598693847656,163.09750366210938,Hover
39,503.9613037109375,400.1864318847656,552.924072265625,167.07464599609375,Hover
40,505.9247741699219,402.10272216796875,578.467041015625,192.4991912841797,Hover
41,523.573974609375,398.1748352050781,594.1154174804688,194.41297912597656,Hover
42,525.5713500976562,400.1921691894531,633.2333374023438,215.98655700683594,Hover
43,525.5432739257812,402.14752197265625,668.5405883789062,243.4760284423828,Hover
44,531.4427490234375,402.10052490234375,678.3474731445312,292.3999938964844,Hover
45,543.1727905273438,413.9237976074219,762.59033203125,333.485107421875,Hover
46,543.1923828125,415.8891296386719,756.687255859375,370.75439453125,Hover
47,543.208984375,423.65472412109375,742.9740600585938,409.9828186035156,Hover
48,543.2111206054688,423.6526184082031,742.9752807617188,409.9864196777344,Hover
49,541.2642822265625,425.5980529785156,743.018310546875,445.1727294921875,Hover
50,545.1583862304688,429.5852355957031,758.7190551757812,468.7618408203125,Hover
51,543.1920776367188,431.525634765625,760.6800537109375,496.162109375,Hover
52,543.1671142578125,433.46612548828125,729.2489624023438,535.3442993164062,Hover
53,543.2412719726562,433.4825744628906,703.8443603515625,556.9013061523438,Hover
54,545.13525390625,431.46112060546875,678.368896484375,572.5802612304688,Hover
55,543.1900024414062,431.4694519042969,647.0202026367188,588.2589111328125,Hover
56,539.3348999023438,433.4483642578125,613.689208984375,609.8031005859375,Hover
57,527.5446166992188,429.5698547363281,541.2769165039062,621.5426635742188,Hover
58,525.552734375,429.48406982421875,496.2158508300781,621.5709228515625,Hover
59,521.6527099609375,423.694580078125,476.5166931152344,613.7103271484375,Hover
60,521.6577758789062,423.6660461425781,476.5155944824219,613.711181640625,Hover
61,519.6521606445312,415.8033142089844,445.205078125,611.7343139648438,Hover
62,515.7608032226562,415.7790832519531,427.5605773925781,570.6283569335938,Hover
63,513.7660522460938,413.8589172363281,378.5884704589844,560.8055419921875,Hover
64,513.8317260742188,411.9121398925781,366.8396301269531,521.6040649414062,Hover
65,509.9272155761719,417.840576171875,351.1999816894531,486.3918762207031,Hover
66,509.865234375,417.8307189941406,333.52392578125,445.1613464355469,Hover
67,507.8998718261719,421.6895751953125,337.4600830078125,415.7861633300781,Hover
68,509.91448974609375,421.7134094238281,337.5091552734375,384.5726623535156,Hover
69,507.9111633300781,413.8266296386719,327.6610107421875,304.1607666015625,Hover
70,509.8428649902344,402.11376953125,337.4972229003906,274.80694580078125,Hover
71,509.83880615234375,402.12786865234375,337.4901428222656,274.8028259277344,Hover
72,509.906005859375,400.1674499511719,343.34259033203125,237.54969787597656,Hover
73,507.9286193847656,398.2033386230469,359.00750732421875,196.4423370361328,Hover
74,507.9548645019531,396.21221923828125,382.5792541503906,190.51515197753906,Hover
75,507.9490051269531,392.3087463378906,411.86126708984375,180.76698303222656,Hover
76,507.9123840332031,382.5446472167969,441.2719421386719,176.79856872558594,Hover
77,504.01654052734375,380.5631103515625,472.6556396484375,182.67633056640625,Hover
78,505.95947265625,384.47003173828125,505.95343017578125,167.00308227539062,Hover
79,509.8179931640625,382.552001953125,551.0323486328125,163.1555633544922,Hover
80,509.86138916015625,398.1827697753906,574.5367431640625,178.7854766845703,Hover
81,541.2963256835938,382.56689453125,635.2147827148438,200.3062286376953,Hover
82,543.225341796875,386.4540710449219,678.3521118164062,192.46153259277344,Hover
83,543.2228393554688,386.46783447265625,678.351806640625,192.45993041992188,Hover
84,549.0433349609375,394.28814697265625,690.0946655273438,259.10797119140625,Hover
85,549.0274047851562,398.14117431640625,709.7097778320312,298.3077087402344,Hover
86,552.9971313476562,402.14508056640625,746.9302978515625,323.7494201660156,Hover
87,556.9696044921875,411.90106201171875,727.3673095703125,366.90826416015625,Hover
